team_name
Adrian
Albertus Magnus
Albion
Albright
Alfred
Alfred St.
Allegheny
Alma
Alvernia
Amherst
Anderson (IN)
Anna Maria
Arcadia
Asbury
Augsburg
Augustana (IL)
Aurora
Austin
Averett
Babson
Baldwin Wallace
Bard
Baruch
Bates
Belhaven
Beloit
Benedictine (IL)
Berea
Berry
Bethany (WV)
Bethany Lutheran
Bethel (MN)
Birmingham-So.
Blackburn
Bluffton
Bob Jones
Bowdoin
Brandeis
Brevard
Bridgewater (VA)
Bridgewater St.
Buena Vista
CCNY
CMSV
CWRU
Cabrini
Cairn
Cal Lutheran
Caltech
Calvin
Capital
Carleton
Carroll (WI)
Carthage
Catholic
Cazenovia
Centenary (LA)
Centenary (NJ)
Central (IA)
Centre
Chapman
Chatham
Chris. Newport
Claremont-M-S
Clark (MA)
Clarks Summit
Clarkson
Coast Guard
Cobleskill St.
Coe
Colby
Colby-Sawyer
Concordia (TX)
Concordia Chicago
Concordia Wisconsin
Concordia-M'head
Cornell College
Cortland
Covenant
Crown (MN)
Curry
Dallas
DePauw
DeSales
Dean
Defiance
Delaware Valley
Denison
Dickinson
Dominican (IL)
Drew
Dubuque
Earlham
East Tex. Baptist
East. Mennonite
Eastern
Eastern Conn. St.
Eastern Nazarene
Edgewood
Elizabethtown
Elmhurst
Elmira
Elms
Emerson
Emory
Endicott
Eureka
FDU-Florham
Farmingdale St.
Ferrum
Finlandia
Fitchburg St.
Fontbonne
Framingham St.
Franciscan
Franklin
Franklin & Marshall
Fredonia
Gallaudet
Geneva
George Fox
Gettysburg
Gordon
Greensboro
Greenville
Grinnell
Grove City
Guilford
Gust. Adolphus
Gwynedd Mercy
Hamilton
Hamline
Hampden-Sydney
Hanover
Hardin-Simmons
Hartford
Haverford
Heidelberg
Hendrix
Hilbert
Hiram
Hobart
Hood
Hope
Houghton
Howard Payne
Huntingdon
Husson
IIT
Ill. Wesleyan
Illinois Col.
Immaculata
Ithaca
JWU (Providence)
John Carroll
John Jay
Johns Hopkins
Juniata
Kalamazoo
Kean
Keene St.
Kenyon
Keuka
Keystone
King's (PA)
Knox
La Roche
La Verne
LaGrange
Lakeland
Lancaster Bible
Lasell
Lawrence
LeTourneau
Lebanon Valley
Lehman
Lesley
Lewis & Clark
Linfield
Loras
Luther
Lycoming
Lynchburg
MCLA
MIT
MSOE
MUW
Macalester
Manchester
Manhattanville
Maranatha Baptist
Marian (WI)
Marietta
Martin Luther
Mary Baldwin
Mary Hardin-Baylor
Mary Washington
Marymount (VA)
Maryville (TN)
Marywood
Mass. Maritime
McDaniel
McMurry
Me.-Farmington
Me.-Presque Isle
Merchant Marine
Messiah
Methodist
Middlebury
Millikin
Millsaps
Minn.-Morris
Misericordia
Mitchell
Monmouth (IL)
Montclair St.
Moravian
Mount Aloysius
Mount Union
Mt. St. Joseph
Mt. St. Mary (NY)
Muhlenberg
Muskingum
N.C. Wesleyan
NYU
Neb. Wesleyan
Neumann
New England Col.
New Jersey City
Nichols
North Central (IL)
North Central (MN)
North Park
Northland
Northwestern-St. Paul
Norwich
Oberlin
Occidental
Oglethorpe
Ohio Northern
Ohio Wesleyan
Old Westbury
Olivet
Oswego St.
Otterbein
Ozarks (AR)
Pacific (OR)
Pacific Lutheran
Penn College
Penn St. Harrisburg
Penn St.-Abington
Penn St.-Altoona
Penn St.-Behrend
Penn St.-Berks
Pfeiffer
Piedmont
Pitt.-Bradford
Pitt.-Greensburg
Plattsburgh St.
Plymouth St.
Pomona-Pitzer
Principia
Puget Sound
Purchase
RIT
Ramapo
Randolph-Macon
Redlands
Rensselaer
Rhode Island Col.
Rhodes
Ripon
Rivier
Roanoke
Rochester (NY)
Rockford
Roger Williams
Rose-Hulman
Rosemont
Rowan
Russell Sage
Rutgers-Camden
Rutgers-Newark
SUNY Brockport
SUNY Canton
SUNY Maritime
SUNY New Paltz
SUNY Oneonta
SUNY Poly
Saint Elizabeth
Saint John's (MN)
Saint Mary's (MN)
Saint Vincent
Salem St.
Salisbury
Salve Regina
Schreiner
Scranton
Sewanee
Shenandoah
Simpson
Skidmore
Southern Me.
Southern Va.
Southwestern (TX)
Spalding
Springfield
St. John Fisher
St. Joseph's (Brkln)
St. Joseph's (L.I.)
St. Joseph's (ME)
St. Lawrence
St. Mary's (MD)
St. Norbert
St. Olaf
St. Scholastica
St. Thomas (TX)
Stevens
Stevenson
Stockton
Suffolk
Susquehanna
Swarthmore
TCNJ
Texas Lutheran
Texas-Dallas
Thiel
Thomas (ME)
Transylvania
Trine
Trinity (CT)
Trinity (TX)
Tufts
UChicago
UMass Boston
UMass Dartmouth
Union (NY)
Ursinus
Utica
VTSU Castleton
VTSU Lyndon
Va. Wesleyan
Valley Forge
Vassar
WPI
Wabash
Wartburg
Wash. & Jeff.
Wash. & Lee
WashU
Washington Col.
Waynesburg
Webster
Wells
Wentworth
Wesleyan (CT)
WestConn
Western New Eng.
Westfield St.
Westminster (MO)
Westminster (PA)
Wheaton (IL)
Wheaton (MA)
Whitman
Whittier
Whitworth
Widener
Wilkes
Willamette
William Peace
Williams
Wilmington (OH)
Wilson
Wis. Lutheran
Wis.-Eau Claire
Wis.-La Crosse
Wis.-Oshkosh
Wis.-Platteville
Wis.-Stevens Point
Wis.-Stout
Wis.-Superior
Wis.-Whitewater
Wittenberg
Wm. Paterson
Wooster
Worcester St.
Yeshiva
York (PA)
